"episode","PC1","PC2","PC3","rating"
"Episode 1 - Good News, Bad News",0.487042107018808,0.0213598286819995,-0.0298934283389099,8.5
"Episode 2 - The Stakeout",0.119458916618469,-0.204521213783224,-0.171372032481124,8.5
"Episode 3 - The Robbery",0.0738579122527946,-0.0361174597866799,-0.282021554850296,8.5
"Episode 4 - Male Unbonding",0.0045561911493997,-0.240043081810476,-0.273324286438279,3.5
"Episode 5 - The Stock Tip",0.263177379457752,-0.342259974607547,0.00760964281048711,8.5
"Episode 6 - The Ex-Girlfriend",0.154768511341394,-0.164145790146586,-0.254161035565709,12.5
"Episode 7 - The Pony Remark",0.219973143880103,-0.302610190172394,-0.239304543898023,19.5
"Episode 8 - The Jacket",0.324195931858676,-0.252367950396784,-0.0591191900634096,72.5
"Episode 9 - The Phone Message",-0.07967362022774,-0.483784415268689,-0.355374391689978,91
"Episode 10 - The Apartment",0.226570071405405,0.171424860720635,-0.182187519325195,19.5
"Episode 11 - The Statue",-0.0143502042192096,0.47171694842367,-0.571642585309313,36
"Episode 12 - The Revenge",0.960014767936555,-0.868386273150134,-0.379675152744582,72.5
"Episode 13 - The Heart Attack",0.156893544398708,-0.147054109325187,0.35888526980086,19.5
"Episode 14 - The Deal",0.257988800536755,-0.549027216746719,-0.228840017830322,72.5
"Episode 15 - The Baby Shower",0.130597550398003,-0.231422888980306,-0.236440085574728,5
"Episode 16 - The Chinese Restaurant",0.197170711506807,-0.357324869628495,-0.40728517745936,136.5
"Episode 17 - The Busboy",-0.0261623887038529,-0.168191882721222,-0.578214525309362,12.5
"Episode 18 - The Note",0.11661848403334,0.0199723984084189,0.23983400429699,54
"Episode 19 - The Truth",0.139564156729447,-0.0277755793090193,-0.210385428782676,15
"Episode 20 - The Pen",-0.0107141967538648,0.299429278525781,0.208487283925925,72.5
"Episode 21 - The Dog",-0.154213961360936,-0.480033154059425,-0.377021121855669,2
"Episode 22 - The Library",0.0701684327816869,-0.129016411439823,-0.222272008944451,123.5
